price,area,status,bhk,bathroom,age,location,builder
138.0,1232,0,2,2.0,0.0,Vadapalani,Appaswamy Real Estate
162.0,2280,0,4,2.0,0.0,Vadapalani,Appaswamy Real Estate
118.0,1394,0,2,2.0,0.0,Perungudi,Appaswamy Real Estate
162.0,1604,0,3,2.0,0.0,Vadapalani,Appaswamy Real Estate
136.0,1211,0,2,2.0,0.0,Vadapalani,Appaswamy Real Estate
117.0,1392,0,2,2.0,0.0,Perungudi,Appaswamy Real Estate
162.0,1811,0,3,2.0,0.0,Vadapalani,Appaswamy Real Estate
162.0,2060,0,3,2.0,0.0,Perungudi,Appaswamy Real Estate
129.0,1154,0,2,2.0,0.0,Vadapalani,Appaswamy Real Estate
162.0,2063,0,3,2.0,0.0,Perungudi,Appaswamy Real Estate
162.0,1617,0,3,2.0,0.0,Vadapalani,Appaswamy Real Estate
162.0,1615,0,3,2.0,0.0,Vadapalani,Appaswamy Real Estate
118.0,1398,0,2,2.0,0.0,Perungudi,Appaswamy Real Estate
135.0,1204,0,2,2.0,0.0,Vadapalani,Appaswamy Real Estate
162.0,2073,0,3,2.0,0.0,Perungudi,Appaswamy Real Estate
162.0,1597,0,3,2.0,0.0,Vadapalani,Appaswamy Real Estate
65.64,1380,1,3,2.0,0.0,Tiruvottiyur,Hansa Estates
53.47,1117,1,2,2.0,0.0,Tiruvottiyur,Hansa Estates
23.22,540,1,1,2.0,0.0,Tiruvottiyur,Hansa Estates
46.99,1093,1,2,2.0,0.0,Tiruvottiyur,Hansa Estates
25.19,586,1,1,2.0,0.0,Tiruvottiyur,Hansa Estates
45.75,1064,1,2,2.0,0.0,Tiruvottiyur,Hansa Estates
25.06,583,1,1,2.0,0.0,Tiruvottiyur,Hansa Estates
25.02,582,1,1,2.0,0.0,Tiruvottiyur,Hansa Estates
45.53,1059,1,2,2.0,0.0,Tiruvottiyur,Hansa Estates
68.38,1439,1,3,2.0,0.0,Tiruvottiyur,Hansa Estates
68.47,1441,1,3,2.0,0.0,Tiruvottiyur,Hansa Estates
44.72,1040,1,2,2.0,0.0,Tiruvottiyur,Hansa Estates
68.75,1447,1,3,2.0,0.0,Tiruvottiyur,Hansa Estates
67.63,1423,1,3,2.0,0.0,Tiruvottiyur,Hansa Estates
67.77,1426,1,3,2.0,0.0,Tiruvottiyur,Hansa Estates
66.81,1405,1,3,2.0,0.0,Tiruvottiyur,Hansa Estates
54.72,1144,1,2,2.0,0.0,Tiruvottiyur,Hansa Estates
54.63,1142,1,2,2.0,0.0,Tiruvottiyur,Hansa Estates
55.19,1154,1,2,2.0,0.0,Tiruvottiyur,Hansa Estates
43.94,1022,1,2,2.0,0.0,Tiruvottiyur,Hansa Estates
66.1,1390,1,3,2.0,0.0,Tiruvottiyur,Hansa Estates
54.09,1130,1,2,2.0,0.0,Tiruvottiyur,Hansa Estates
23.65,550,1,1,2.0,0.0,Tiruvottiyur,Hansa Estates
66.3,1394,1,3,2.0,0.0,Tiruvottiyur,Hansa Estates
23.47,546,1,1,2.0,0.0,Tiruvottiyur,Hansa Estates
66.35,1395,1,3,2.0,0.0,Tiruvottiyur,Hansa Estates
23.26,541,1,1,2.0,0.0,Tiruvottiyur,Hansa Estates
23.39,544,1,1,2.0,0.0,Tiruvottiyur,Hansa Estates
111.0,1645,1,3,2.0,4.0,Iyappanthangal,Other
121.0,1790,1,3,2.0,4.0,Iyappanthangal,Other
119.0,1760,1,3,2.0,4.0,Iyappanthangal,Other
115.0,1700,1,3,3.0,4.0,Iyappanthangal,Other
117.0,1730,1,3,2.0,4.0,Iyappanthangal,Other
79.72,1000,0,2,2.0,0.0,East Tambaram,DAC Promoters
75.04,972,0,2,2.0,0.0,East Tambaram,DAC Promoters
57.35,730,0,2,2.0,0.0,East Tambaram,DAC Promoters
63.27,811,0,2,2.0,0.0,East Tambaram,DAC Promoters
93.27,1171,0,2,2.0,0.0,East Tambaram,DAC Promoters
58.82,750,0,2,2.0,0.0,East Tambaram,DAC Promoters
35.74,1030,1,2,2.0,1.0,Other,Other
30.71,893,1,2,2.0,1.0,Other,Other
28.1,810,1,2,2.0,1.0,Other,Other
54.03,837,0,2,2.0,0.0,Pallavaram,DAC Promoters
54.39,861,0,2,2.0,0.0,Pallavaram,DAC Promoters
49.44,777,0,2,2.0,0.0,Pallavaram,DAC Promoters
52.42,783,0,2,2.0,0.0,Pallavaram,DAC Promoters
54.57,864,0,2,2.0,0.0,Pallavaram,DAC Promoters
106.0,1405,0,3,2.0,0.0,Selaiyur,DAC Promoters
58.44,919,0,2,2.0,0.0,Pammal,DAC Promoters
84.17,1094,0,2,2.0,0.0,Selaiyur,DAC Promoters
89.4,1414,0,3,2.0,0.0,Pammal,DAC Promoters
70.64,909,0,2,2.0,0.0,Selaiyur,DAC Promoters
62.41,988,0,2,2.0,0.0,Pammal,DAC Promoters
131.0,1689,0,3,2.0,0.0,Selaiyur,DAC Promoters
61.83,978,0,2,2.0,0.0,Pammal,DAC Promoters
129.0,1656,0,3,2.0,0.0,Selaiyur,DAC Promoters
80.6,1261,0,3,2.0,0.0,Pammal,DAC Promoters
76.64,991,0,2,2.0,0.0,Selaiyur,DAC Promoters
162.0,2348,1,3,2.0,3.0,Alwarpet,Olympia Group
162.0,2476,1,3,2.0,3.0,Alwarpet,Olympia Group
162.0,2781,1,4,2.0,3.0,Alwarpet,Olympia Group
162.0,2713,1,4,2.0,3.0,Alwarpet,Olympia Group
162.0,4729,1,4,2.0,0.0,Sholinganallur,Olympia Group
162.0,4623,1,4,2.0,0.0,Sholinganallur,Olympia Group
162.0,5677,1,5,2.0,0.0,Sholinganallur,Olympia Group
162.0,3700,1,3,2.0,4.0,Other,Olympia Group
64.59,1244,0,3,3.0,0.0,Perumbakkam,Saradeuz Realty Constructions
59.08,1143,0,3,3.0,0.0,Perumbakkam,Saradeuz Realty Constructions
64.59,1244,0,3,3.0,0.0,Perumbakkam,Saradeuz Realty Constructions
64.59,1244,0,3,3.0,0.0,Perumbakkam,Saradeuz Realty Constructions
59.08,1143,0,3,3.0,0.0,Perumbakkam,Saradeuz Realty Constructions
59.08,1143,0,3,3.0,0.0,Perumbakkam,Saradeuz Realty Constructions
70.09,1249,0,3,2.0,0.0,Perumbakkam,Saradeuz Realty Constructions
70.09,1249,0,3,2.0,0.0,Perumbakkam,Saradeuz Realty Constructions
59.41,1150,0,3,3.0,0.0,Perumbakkam,Saradeuz Realty Constructions
59.41,1150,0,3,3.0,0.0,Perumbakkam,Saradeuz Realty Constructions
64.02,1246,0,3,3.0,0.0,Perumbakkam,Saradeuz Realty Constructions
64.02,1246,0,3,3.0,0.0,Perumbakkam,Saradeuz Realty Constructions
70.67,1155,0,3,3.0,0.0,Perumbakkam,Saradeuz Realty Constructions
70.67,1155,0,3,3.0,0.0,Perumbakkam,Saradeuz Realty Constructions
58.77,1124,0,3,3.0,0.0,Perumbakkam,Saradeuz Realty Constructions
58.77,1124,0,3,3.0,0.0,Perumbakkam,Saradeuz Realty Constructions
80.47,1239,0,3,2.0,0.0,Porur,SP Homes Pvt Ltd
62.09,956,0,2,2.0,0.0,Porur,SP Homes Pvt Ltd
81.31,1252,0,3,2.0,0.0,Porur,SP Homes Pvt Ltd
81.05,1248,0,2,2.0,0.0,Porur,SP Homes Pvt Ltd
61.37,945,0,2,2.0,0.0,Porur,SP Homes Pvt Ltd
70.99,1093,0,2,2.0,0.0,Porur,SP Homes Pvt Ltd
61.18,942,0,2,2.0,0.0,Porur,SP Homes Pvt Ltd
79.43,1223,0,2,2.0,0.0,Porur,SP Homes Pvt Ltd
84.17,1296,0,3,2.0,0.0,Porur,SP Homes Pvt Ltd
162.0,1571,0,3,2.0,0.0,Kotturpuram,Appaswamy Real Estate
162.0,1245,0,2,2.0,0.0,Kotturpuram,Appaswamy Real Estate
162.0,1238,0,2,2.0,0.0,Kotturpuram,Appaswamy Real Estate
162.0,1976,0,3,2.0,0.0,Kotturpuram,Appaswamy Real Estate
162.0,1842,0,3,2.0,0.0,Kotturpuram,Appaswamy Real Estate
162.0,1979,0,3,2.0,0.0,Kotturpuram,Appaswamy Real Estate
162.0,1313,0,2,2.0,0.0,Kotturpuram,Appaswamy Real Estate
162.0,1951,0,3,2.0,0.0,Kotturpuram,Appaswamy Real Estate
162.0,1225,0,2,2.0,0.0,Kotturpuram,Appaswamy Real Estate
162.0,1894,0,3,2.0,0.0,Kotturpuram,Appaswamy Real Estate
162.0,1233,0,2,2.0,0.0,Kotturpuram,Appaswamy Real Estate
162.0,2737,0,4,2.0,0.0,Kotturpuram,Appaswamy Real Estate
162.0,2729,0,4,2.0,0.0,Kotturpuram,Appaswamy Real Estate
162.0,1877,0,3,2.0,0.0,Kotturpuram,Appaswamy Real Estate
162.0,1874,0,3,2.0,0.0,Kotturpuram,Appaswamy Real Estate
162.0,1521,0,3,2.0,0.0,Kotturpuram,Appaswamy Real Estate
162.0,2765,0,4,2.0,0.0,Kotturpuram,Appaswamy Real Estate
162.0,3289,0,4,2.0,0.0,Kotturpuram,Appaswamy Real Estate
162.0,2758,0,4,2.0,0.0,Kotturpuram,Appaswamy Real Estate
162.0,1987,0,3,2.0,0.0,Kotturpuram,Appaswamy Real Estate
48.21,928,1,2,2.0,1.0,Pammal,Bharathi Construction
40.59,743,1,2,2.0,1.0,Pammal,Bharathi Construction
22.99,430,1,1,2.0,1.0,Pammal,Bharathi Construction
45.03,830,1,2,2.0,1.0,Pammal,Bharathi Construction
35.32,652,1,2,2.0,1.0,Pammal,Bharathi Construction
35.32,652,1,2,2.0,1.0,Pammal,Bharathi Construction
66.05,1216,1,3,2.0,1.0,Pammal,Bharathi Construction
66.05,1216,1,3,2.0,1.0,Pammal,Bharathi Construction
42.3,791,1,2,2.0,1.0,Pammal,Bharathi Construction
42.3,791,1,2,2.0,1.0,Pammal,Bharathi Construction
39.19,729,1,2,2.0,1.0,Pammal,Bharathi Construction
39.19,729,1,2,2.0,1.0,Pammal,Bharathi Construction
53.54,976,1,2,2.0,1.0,Pammal,Bharathi Construction
53.54,976,1,2,2.0,1.0,Pammal,Bharathi Construction
45.72,859,1,2,2.0,1.0,Pammal,Bharathi Construction
45.72,859,1,2,2.0,1.0,Pammal,Bharathi Construction
28.43,546,1,1,2.0,1.0,Pammal,Bharathi Construction
28.43,546,1,1,2.0,1.0,Pammal,Bharathi Construction
43.41,813,1,2,2.0,1.0,Pammal,Bharathi Construction
43.41,813,1,2,2.0,1.0,Pammal,Bharathi Construction
53.81,1145,1,3,2.0,1.0,Pammal,Bharathi Construction
23.12,492,1,1,2.0,1.0,Pammal,Bharathi Construction
47.23,1005,1,2,2.0,1.0,Pammal,Bharathi Construction
39.48,840,1,2,2.0,1.0,Pammal,Bharathi Construction
38.63,822,1,2,2.0,1.0,Pammal,Bharathi Construction
52.36,952,0,2,2.0,0.0,Pammal,Bharathi Construction
39.49,718,0,2,2.0,0.0,Pammal,Bharathi Construction
35.86,652,0,2,2.0,0.0,Pammal,Bharathi Construction
67.1,1220,0,3,2.0,0.0,Pammal,Bharathi Construction
44.0,800,0,2,2.0,0.0,Pammal,Bharathi Construction
40.05,890,0,2,2.0,0.0,Pammal,Bharathi Construction
38.25,850,0,2,2.0,0.0,Pammal,Bharathi Construction
56.02,1050,0,2,2.0,0.0,Pammal,Bharathi Construction
46.84,905,0,2,2.0,0.0,Pammal,Bharathi Construction
55.97,1049,0,2,2.0,0.0,Pammal,Bharathi Construction
44.63,860,0,2,2.0,0.0,Pammal,Bharathi Construction
45.37,875,0,2,2.0,0.0,Pammal,Bharathi Construction
62.14,1170,0,3,2.0,0.0,Pammal,Bharathi Construction
162.0,5879,1,5,2.0,3.0,Other,Other
162.0,5765,1,5,2.0,3.0,Other,Other
70.0,1112,1,2,2.0,2.0,Other,Urban Tree Infrastructures
89.0,1414,1,3,3.0,2.0,Other,Urban Tree Infrastructures
69.0,1092,1,2,2.0,2.0,Other,Urban Tree Infrastructures
85.0,1358,1,3,2.0,2.0,Other,Urban Tree Infrastructures
59.29,1078,0,2,2.0,0.0,Mugalivakkam,Karuppaswamy Builders
59.18,1076,0,2,2.0,0.0,Mugalivakkam,Karuppaswamy Builders
86.51,1573,0,3,2.0,0.0,Mugalivakkam,Karuppaswamy Builders
82.88,1507,0,3,2.0,0.0,Mugalivakkam,Karuppaswamy Builders
86.73,1577,0,3,2.0,0.0,Mugalivakkam,Karuppaswamy Builders
59.73,1086,0,2,2.0,0.0,Mugalivakkam,Karuppaswamy Builders
57.86,1052,0,2,2.0,0.0,Mugalivakkam,Karuppaswamy Builders
87.34,1588,0,3,2.0,0.0,Mugalivakkam,Karuppaswamy Builders
62.59,1138,0,2,2.0,0.0,Mugalivakkam,Karuppaswamy Builders
64.02,1164,0,2,2.0,0.0,Mugalivakkam,Karuppaswamy Builders
40.84,1238,1,3,2.0,3.0,Kelambakkam,Advaita Homes
41.0,1243,1,2,2.0,3.0,Kelambakkam,Advaita Homes
40.94,1241,1,2,2.0,3.0,Kelambakkam,Advaita Homes
32.99,1000,1,2,2.0,3.0,Kelambakkam,Advaita Homes
22.96,696,1,1,2.0,3.0,Kelambakkam,Advaita Homes
36.98,1121,1,2,2.0,3.0,Kelambakkam,Advaita Homes
20.88,633,1,1,2.0,3.0,Kelambakkam,Advaita Homes
41.27,1251,1,3,2.0,3.0,Kelambakkam,Advaita Homes
36.75,1114,1,2,2.0,3.0,Kelambakkam,Advaita Homes
40.31,1222,1,3,2.0,3.0,Kelambakkam,Advaita Homes
36.09,1094,1,2,2.0,3.0,Kelambakkam,Advaita Homes
44.89,1361,1,3,3.0,3.0,Kelambakkam,Advaita Homes
32.89,997,1,2,2.0,3.0,Kelambakkam,Advaita Homes
32.52,986,1,2,2.0,3.0,Kelambakkam,Advaita Homes
30.21,916,1,2,2.0,3.0,Kelambakkam,Advaita Homes
26.75,811,1,1,2.0,3.0,Kelambakkam,Advaita Homes
44.63,1353,1,3,2.0,3.0,Kelambakkam,Advaita Homes
32.26,978,1,2,2.0,3.0,Kelambakkam,Advaita Homes
43.77,1327,1,3,2.0,3.0,Kelambakkam,Advaita Homes
32.16,975,1,2,2.0,3.0,Kelambakkam,Advaita Homes
25.79,782,1,1,2.0,3.0,Kelambakkam,Advaita Homes
32.39,982,1,2,2.0,3.0,Kelambakkam,Advaita Homes
32.33,980,1,2,2.0,3.0,Kelambakkam,Advaita Homes
25.69,779,1,1,2.0,3.0,Kelambakkam,Advaita Homes
34.4,1043,1,2,2.0,3.0,Kelambakkam,Advaita Homes
34.73,1053,1,2,2.0,3.0,Kelambakkam,Advaita Homes
32.03,971,1,2,2.0,3.0,Kelambakkam,Advaita Homes
31.83,965,1,2,2.0,3.0,Kelambakkam,Advaita Homes
26.65,808,1,1,2.0,3.0,Kelambakkam,Advaita Homes
31.37,951,1,2,2.0,3.0,Kelambakkam,Advaita Homes
29.19,885,1,2,2.0,3.0,Kelambakkam,Advaita Homes
24.84,753,1,1,1.0,3.0,Kelambakkam,Advaita Homes
42.22,1280,1,3,2.0,3.0,Kelambakkam,Advaita Homes
33.31,1010,1,2,2.0,3.0,Kelambakkam,Advaita Homes
31.14,944,1,2,2.0,3.0,Kelambakkam,Advaita Homes
26.75,811,1,2,2.0,3.0,Kelambakkam,Advaita Homes
33.28,1009,1,2,2.0,3.0,Kelambakkam,Advaita Homes
31.07,942,1,2,2.0,3.0,Kelambakkam,Advaita Homes
37.08,1124,1,2,2.0,3.0,Kelambakkam,Advaita Homes
31.27,948,1,2,2.0,3.0,Kelambakkam,Advaita Homes
46.25,1402,1,3,2.0,3.0,Kelambakkam,Advaita Homes
33.41,1013,1,2,2.0,3.0,Kelambakkam,Advaita Homes
35.65,926,0,3,2.0,0.0,Thirumullaivoyal,Swamaan Developers
39.73,1032,0,3,2.0,0.0,Thirumullaivoyal,Swamaan Developers
33.3,865,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
36.53,949,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
33.88,880,0,2,2.0,0.0,Thirumullaivoyal,Swamaan Developers
48.39,1042,0,3,2.0,0.0,Pammal,Merlin Group
